,Status of existing checking account,Duration,Credit history,Purpose_business,Purpose_car (new),Purpose_car (used),Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_others,Purpose_radio/television,Purpose_repairs,Purpose_retraining,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Sex,Other debtors_co-applicant,Other debtors_guarantor,Other debtors_none,Present residence since,Age,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker
193,0,6,3,0,0,0,0,0,0,0,1,0,0,2108,1,3,2,0,0,0,1,2,29,0,1,2,1,0,1
194,2,45,3,0,0,0,0,0,0,0,1,0,0,3031,2,2,4,0,0,1,0,4,21,0,1,2,1,0,1
195,2,9,0,0,0,0,0,1,0,0,0,0,0,1501,1,4,2,1,0,0,1,3,34,1,2,3,1,1,1
196,0,6,0,0,0,0,0,0,0,0,1,0,0,1382,1,2,1,1,0,0,1,1,28,1,2,2,1,1,1
197,2,12,3,0,0,0,0,0,1,0,0,0,0,951,2,1,4,1,0,0,1,4,27,0,4,2,1,0,1
198,2,24,3,0,0,1,0,0,0,0,0,0,0,2760,0,4,4,0,0,0,1,4,36,2,1,2,1,1,1
199,2,18,1,0,0,0,0,0,1,0,0,0,0,4297,1,4,4,0,0,0,1,3,40,1,1,3,1,1,1
200,0,9,0,0,0,0,0,1,0,0,0,0,0,936,3,4,4,0,0,0,1,2,52,1,2,2,1,1,1
201,1,12,3,0,1,0,0,0,0,0,0,0,0,1168,1,2,4,0,0,0,1,3,27,1,1,1,1,0,1
202,0,27,1,1,0,0,0,0,0,0,0,0,0,5117,1,3,3,0,0,0,1,4,26,1,2,2,1,0,1
203,1,12,3,0,0,0,0,0,0,0,0,0,1,902,1,3,4,0,0,0,1,4,21,0,1,2,1,0,1
204,0,12,0,0,1,0,0,0,0,0,0,0,0,1495,1,4,4,0,0,0,1,1,38,1,2,1,2,0,1
205,1,30,0,0,0,1,0,0,0,0,0,0,0,10623,1,4,3,0,0,0,1,4,38,2,3,3,2,1,1
206,0,12,0,0,0,0,0,0,1,0,0,0,0,1935,1,4,4,0,0,0,1,4,43,1,3,2,1,1,1
207,2,12,0,0,0,0,1,0,0,0,0,0,0,1424,1,3,4,0,0,0,1,3,26,1,1,2,1,0,1
208,1,24,3,1,0,0,0,0,0,0,0,0,0,6568,1,2,2,0,0,0,1,2,21,1,1,1,1,0,1
209,0,12,3,0,0,1,0,0,0,0,0,0,0,1413,4,3,3,0,0,0,1,2,55,1,1,2,1,0,0
210,0,9,0,0,0,0,0,0,0,0,1,0,0,3074,0,2,1,0,0,0,1,2,33,1,2,2,2,0,1
211,0,36,3,0,0,0,0,0,0,0,1,0,0,3835,0,4,2,1,0,0,1,4,45,1,1,1,1,1,1
212,1,27,2,1,0,0,0,0,0,0,0,0,0,5293,1,0,2,0,0,0,1,4,50,1,2,2,1,1,1
213,3,30,1,1,0,0,0,0,0,0,0,0,0,1908,1,4,4,0,0,0,1,4,66,1,1,3,1,1,1
214,0,36,0,0,0,0,0,0,0,0,1,0,0,3342,0,4,4,0,0,0,1,2,51,1,1,2,1,1,1
215,2,6,0,0,0,0,0,0,0,0,0,0,1,932,0,3,1,1,0,0,1,3,39,1,2,1,1,0,1
216,1,18,2,1,0,0,0,0,0,0,0,0,0,3104,1,3,3,0,0,0,1,1,31,1,1,2,1,1,1
217,3,36,3,0,0,0,0,0,0,0,1,0,0,3913,1,2,2,0,0,0,1,2,23,1,1,2,1,1,1
218,1,24,3,0,0,0,0,0,1,0,0,0,0,3021,1,2,2,0,0,0,1,2,24,0,1,1,1,0,1
219,0,10,3,0,1,0,0,0,0,0,0,0,0,1364,1,2,2,1,0,0,1,4,64,1,1,2,1,1,1
220,2,12,3,0,0,0,0,0,0,0,1,0,0,625,1,1,4,0,0,1,0,1,26,1,1,1,1,0,1
221,1,12,3,0,0,0,0,1,0,0,0,0,0,1200,0,2,4,1,0,0,1,4,23,0,1,2,1,1,1
222,0,12,3,0,0,0,0,0,0,0,1,0,0,707,1,2,4,0,0,0,1,2,30,1,2,2,1,0,1
223,0,24,1,1,0,0,0,0,0,0,0,0,0,2978,0,2,4,0,0,0,1,4,32,1,2,2,2,1,1
224,0,15,3,0,0,1,0,0,0,0,0,0,0,4657,1,2,3,0,0,0,1,2,30,1,1,2,1,1,1
225,0,36,2,0,0,0,0,0,0,0,0,1,0,2613,1,2,4,0,0,0,1,2,27,1,2,2,1,0,1
226,2,48,3,0,0,0,0,0,0,0,1,0,0,10961,4,3,1,0,1,0,0,2,27,1,2,2,1,1,1
227,1,12,3,0,0,0,0,0,1,0,0,0,0,7865,1,4,4,0,0,0,1,4,53,2,1,3,1,1,1
228,0,9,3,0,0,0,0,0,0,0,1,0,0,1478,1,3,4,0,0,0,1,2,22,1,1,2,1,0,1
229,1,24,3,0,0,0,0,0,1,0,0,0,0,3149,1,1,4,0,0,0,1,1,22,2,1,2,1,0,1
230,3,36,3,0,0,0,0,0,0,0,1,0,0,4210,1,2,4,0,0,0,1,2,26,1,1,2,1,0,1
231,0,9,3,0,1,0,0,0,0,0,0,0,0,2507,3,4,2,0,0,0,1,4,51,2,1,1,1,0,1
232,0,12,3,0,0,0,0,0,0,0,1,0,0,2141,2,3,3,0,0,0,1,1,35,1,1,2,1,0,1
233,2,18,3,0,0,0,0,0,0,0,1,0,0,866,1,2,4,0,0,1,0,2,25,1,1,1,1,0,1
234,0,4,0,0,0,0,0,0,0,0,1,0,0,1544,1,3,2,0,0,0,1,1,42,1,3,1,2,0,1
235,1,24,3,0,0,0,0,0,0,0,1,0,0,1823,1,0,4,0,0,0,1,2,30,1,1,3,2,0,1
236,2,6,3,0,1,0,0,0,0,0,0,0,0,14555,0,0,1,0,0,0,1,2,23,1,1,0,1,1,1
237,2,21,3,1,0,0,0,0,0,0,0,0,0,2767,2,4,4,0,0,0,1,2,61,0,2,1,1,0,1
238,0,12,0,0,0,0,0,0,0,0,1,0,0,1291,1,2,4,1,0,0,1,2,35,1,2,2,1,0,1
239,1,30,3,0,0,0,0,0,0,0,1,0,0,2522,1,4,1,0,0,1,0,3,39,1,1,2,2,0,1
240,1,24,3,0,1,0,0,0,0,0,0,0,0,915,0,4,4,1,0,0,1,2,29,1,1,2,1,0,1
241,0,6,3,0,0,0,0,0,0,0,1,0,0,1595,1,3,3,0,0,0,1,2,51,1,1,2,2,0,1
242,1,48,2,0,0,1,0,0,0,0,0,0,0,4605,1,4,3,0,0,0,1,4,24,2,2,2,2,0,1
243,0,12,0,1,0,0,0,0,0,0,0,0,0,1185,1,2,3,1,0,0,1,2,27,1,2,2,1,0,1
244,0,12,4,0,0,0,0,0,0,0,0,0,1,3447,3,2,4,1,0,0,1,3,35,1,1,1,2,0,1
245,0,24,3,1,0,0,0,0,0,0,0,0,0,1258,1,3,4,0,0,0,1,1,25,1,1,2,1,1,1
246,0,12,0,0,0,0,0,0,0,0,1,0,0,717,1,4,4,0,0,0,1,4,52,1,3,2,1,0,1
247,0,6,2,0,1,0,0,0,0,0,0,0,0,1204,2,2,4,0,0,0,1,1,35,0,1,2,1,0,0
248,3,24,3,0,0,0,0,0,1,0,0,0,0,1925,1,2,2,0,0,0,1,2,26,1,1,2,1,0,1
249,0,18,3,0,0,0,0,0,0,0,1,0,0,433,1,0,3,1,1,0,0,4,22,0,1,2,1,0,1
250,1,6,0,0,1,0,0,0,0,0,0,0,0,666,4,3,3,1,0,0,1,4,39,1,2,1,1,1,1
251,3,12,3,0,0,0,0,0,1,0,0,0,0,2251,1,2,1,1,0,0,1,2,46,1,1,1,1,0,1
252,2,30,3,0,1,0,0,0,0,0,0,0,0,2150,1,2,4,1,0,1,0,2,24,1,1,2,1,0,1
253,0,24,1,0,0,0,0,0,1,0,0,0,0,4151,2,2,2,0,0,0,1,3,35,1,2,2,1,0,1
254,2,9,3,0,0,0,0,0,1,0,0,0,0,2030,0,3,2,0,0,0,1,1,24,1,1,2,1,1,1
255,2,60,1,0,0,0,0,0,0,0,1,0,0,7418,0,2,1,0,0,0,1,1,27,1,1,1,1,0,1
256,0,24,0,0,0,0,0,0,0,0,1,0,0,2684,1,2,4,0,0,0,1,2,35,1,2,1,1,0,1
257,1,12,4,0,0,0,0,0,0,0,1,0,0,2149,1,2,4,0,0,0,1,1,29,2,1,2,1,0,1
258,0,15,3,0,0,1,0,0,0,0,0,0,0,3812,2,1,1,1,0,0,1,4,23,1,1,2,1,1,1
259,0,11,0,0,0,0,0,0,0,0,1,0,0,1154,2,0,4,1,0,0,1,4,57,1,3,1,1,0,1
260,1,12,3,0,0,0,0,0,1,0,0,0,0,1657,1,2,2,0,0,0,1,2,27,1,1,2,1,0,1
261,1,24,3,0,0,0,0,0,0,0,1,0,0,1603,1,4,4,1,0,0,1,4,55,1,1,2,1,0,1
262,1,18,0,0,1,0,0,0,0,0,0,0,0,5302,1,4,2,0,0,0,1,4,36,2,3,3,1,1,1
263,0,12,0,0,0,0,0,1,0,0,0,0,0,2748,1,4,2,1,0,0,1,4,57,2,3,1,1,0,1
264,0,10,0,0,1,0,0,0,0,0,0,0,0,1231,1,4,3,0,0,0,1,4,32,1,2,1,2,0,0
265,2,15,3,0,0,0,0,0,0,0,1,0,0,802,1,4,4,0,0,0,1,3,37,1,1,2,2,0,1
266,0,36,0,1,0,0,0,0,0,0,0,0,0,6304,0,4,4,0,0,0,1,4,36,1,2,2,1,0,1
267,0,24,3,0,0,0,0,0,0,0,1,0,0,1533,1,1,4,1,0,0,1,3,38,1,1,2,1,1,1
268,1,14,3,0,1,0,0,0,0,0,0,0,0,8978,1,4,1,0,0,0,1,4,45,1,1,3,1,1,0
269,0,24,3,0,0,0,0,0,0,0,1,0,0,999,0,4,4,0,0,0,1,2,25,1,2,2,1,0,1
270,0,18,3,0,1,0,0,0,0,0,0,0,0,2662,0,3,4,0,0,0,1,3,32,1,1,2,1,0,0
271,0,12,0,0,0,0,0,0,1,0,0,0,0,1402,3,3,3,1,0,0,1,4,37,0,1,2,1,1,1
272,2,48,4,0,1,0,0,0,0,0,0,0,0,12169,0,0,4,0,1,0,0,4,36,2,1,3,1,1,1
273,2,48,3,0,0,0,0,0,0,0,1,0,0,3060,1,3,4,0,0,0,1,4,28,1,2,2,1,0,1
274,1,30,3,0,0,0,0,0,0,0,0,1,0,11998,1,1,1,0,0,0,1,1,34,1,1,1,1,1,1
275,0,9,3,0,0,0,0,0,0,0,1,0,0,2697,1,2,1,0,0,0,1,2,32,1,1,2,2,0,1
276,0,18,0,0,0,0,0,0,0,0,1,0,0,2404,1,2,2,1,0,0,1,2,26,1,2,2,1,0,1
277,1,12,3,0,0,0,0,0,1,0,0,0,0,1262,0,4,2,0,0,0,1,4,49,1,1,1,1,1,1
278,0,6,3,0,0,0,0,0,1,0,0,0,0,4611,1,1,1,1,0,0,1,4,32,1,1,2,1,0,1
279,0,24,3,0,0,0,0,0,0,0,1,0,0,1901,2,2,4,0,0,0,1,4,29,0,1,3,1,1,1
280,0,15,0,0,0,1,0,0,0,0,0,0,0,3368,4,4,3,0,0,0,1,4,23,0,2,2,1,1,1
281,0,12,3,0,0,0,0,0,1,0,0,0,0,1574,1,2,4,0,0,0,1,2,50,1,1,2,1,0,1
282,3,18,4,0,0,0,0,0,0,0,1,0,0,1445,0,3,4,0,0,0,1,4,49,1,1,1,1,0,1
283,0,15,0,0,0,0,0,0,1,0,0,0,0,1520,0,4,4,0,0,0,1,4,63,1,1,2,1,0,1
284,2,24,0,0,1,0,0,0,0,0,0,0,0,3878,2,1,4,0,0,0,1,2,37,1,1,2,1,1,1
285,1,47,3,0,1,0,0,0,0,0,0,0,0,10722,1,1,1,1,0,0,1,1,35,1,1,1,1,1,1
286,1,48,3,0,0,1,0,0,0,0,0,0,0,4788,1,3,4,0,0,0,1,3,26,1,1,2,2,0,1
287,2,48,1,0,0,0,0,0,0,1,0,0,0,7582,2,0,2,0,0,0,1,4,31,2,1,3,1,1,1
288,2,12,3,0,0,0,0,0,0,0,1,0,0,1092,1,2,4,1,0,1,0,4,49,1,2,2,1,1,1
289,1,24,1,0,0,0,0,0,0,0,1,0,0,1024,1,1,4,0,0,0,1,4,48,1,1,2,1,0,1
290,0,12,3,1,0,0,0,0,0,0,0,0,0,1076,1,2,2,0,0,0,1,2,26,1,1,2,1,1,0
291,2,36,3,0,0,1,0,0,0,0,0,0,0,9398,1,1,1,0,0,0,1,4,28,0,1,3,1,1,1
292,1,24,0,0,0,1,0,0,0,0,0,0,0,6419,1,4,2,1,0,0,1,4,44,2,2,3,2,1,1
293,3,42,0,0,0,1,0,0,0,0,0,0,0,4796,1,4,4,0,0,0,1,4,56,2,1,2,1,0,1
294,0,48,0,1,0,0,0,0,0,0,0,0,0,7629,0,4,4,0,0,0,1,2,46,1,2,3,2,0,1
295,2,48,3,0,0,0,0,0,1,0,0,0,0,9960,1,1,1,1,0,0,1,2,26,1,1,2,1,1,1
296,0,12,3,0,0,1,0,0,0,0,0,0,0,4675,0,1,1,1,0,0,1,4,20,0,1,2,1,0,1
297,0,10,3,0,1,0,0,0,0,0,0,0,0,1287,0,4,4,0,1,0,0,2,45,1,1,1,1,0,0
298,0,18,3,0,0,0,0,0,1,0,0,0,0,2515,1,2,3,0,0,0,1,4,43,1,1,2,1,1,1
299,2,21,0,0,0,0,0,0,1,0,0,0,0,2745,4,3,3,0,0,0,1,2,32,1,2,2,1,1,1
300,0,6,3,0,1,0,0,0,0,0,0,0,0,672,1,0,1,1,0,0,1,4,54,1,1,0,1,1,1
301,2,36,2,0,0,0,0,0,0,0,1,0,0,3804,1,2,4,1,0,0,1,1,42,1,1,2,1,1,1
302,3,24,0,0,1,0,0,0,0,0,0,0,0,1344,0,3,4,0,0,0,1,2,37,1,2,1,2,0,1
303,1,10,0,0,1,0,0,0,0,0,0,0,0,1038,1,3,4,0,1,0,0,3,49,1,2,2,1,1,1
304,0,48,0,0,1,0,0,0,0,0,0,0,0,10127,3,2,2,0,0,0,1,2,44,2,1,2,1,0,1
305,0,6,3,0,0,0,0,0,1,0,0,0,0,1543,4,2,4,0,0,0,1,2,33,1,1,2,1,0,1
306,0,30,3,0,0,1,0,0,0,0,0,0,0,4811,0,3,2,1,0,0,1,4,24,0,1,1,1,0,1
307,1,12,3,0,0,0,0,0,0,0,1,0,0,727,2,1,4,0,0,0,1,3,33,1,1,1,1,1,1
308,2,8,3,0,0,0,0,0,1,0,0,0,0,1237,1,2,3,1,0,0,1,4,24,1,1,2,1,0,1
309,2,9,3,0,1,0,0,0,0,0,0,0,0,276,1,2,4,0,0,0,1,4,22,0,1,1,1,0,1
310,2,48,3,0,0,0,0,0,0,1,0,0,0,5381,0,0,3,0,0,0,1,4,40,2,1,0,1,1,1
311,0,24,3,0,0,0,0,0,1,0,0,0,0,5511,2,2,4,0,0,0,1,1,25,1,1,2,1,0,1
312,3,24,3,0,0,0,0,0,1,0,0,0,0,3749,1,1,2,1,0,0,1,4,26,1,1,2,1,0,1
313,2,12,3,0,1,0,0,0,0,0,0,0,0,685,1,3,2,0,0,0,1,3,25,1,1,1,1,0,1
314,3,4,3,0,1,0,0,0,0,0,0,0,0,1494,0,1,1,0,0,0,1,2,29,1,1,1,2,0,0
315,1,36,4,0,0,0,0,0,1,0,0,0,0,2746,1,4,4,0,0,0,1,4,31,1,1,2,1,0,1
316,1,12,3,0,0,0,0,0,1,0,0,0,0,708,1,2,2,0,0,1,0,3,38,1,1,1,2,0,1
317,2,24,3,0,0,0,0,0,1,0,0,0,0,4351,0,2,1,1,0,0,1,4,48,1,1,1,1,1,1
318,0,12,0,0,0,0,0,1,0,0,0,0,0,701,1,2,4,0,0,0,1,2,32,1,2,2,1,0,1
319,1,15,1,0,0,0,0,0,1,0,0,0,0,3643,1,4,1,1,0,0,1,4,27,1,2,1,1,0,1
320,2,30,0,0,1,0,0,0,0,0,0,0,0,4249,1,0,4,0,0,0,1,2,28,1,2,3,1,0,1
321,1,24,3,0,0,0,0,0,0,0,1,0,0,1938,1,1,4,0,0,0,1,3,32,1,1,2,1,0,1
322,1,24,3,0,0,1,0,0,0,0,0,0,0,2910,1,3,2,0,0,0,1,1,34,2,1,3,1,1,1
323,1,18,3,0,0,0,0,0,1,0,0,0,0,2659,4,2,4,0,0,0,1,2,28,1,1,2,1,0,1
324,0,18,0,0,1,0,0,0,0,0,0,0,0,1028,1,2,4,1,0,0,1,3,36,1,2,2,1,0,1
325,1,8,0,0,1,0,0,0,0,0,0,0,0,3398,1,3,1,0,0,0,1,4,39,1,2,1,1,0,0
326,0,12,0,0,0,0,0,0,1,0,0,0,0,5801,0,4,2,0,0,0,1,4,49,0,1,2,1,1,1
327,0,24,3,0,1,0,0,0,0,0,0,0,0,1525,4,3,4,1,0,0,1,3,34,1,1,2,2,1,1
328,3,36,3,0,0,0,0,0,0,0,1,0,0,4473,1,4,4,0,0,0,1,2,31,1,1,2,1,0,1
329,2,6,3,0,0,0,0,0,0,0,1,0,0,1068,1,4,4,0,0,0,1,4,28,1,1,2,2,0,1
330,1,24,0,0,0,1,0,0,0,0,0,0,0,6615,1,0,2,0,0,0,1,4,75,2,2,3,1,1,1
331,0,18,0,0,0,0,0,1,0,0,0,0,0,1864,2,2,4,1,0,0,1,2,30,1,2,2,1,0,1
332,2,60,3,0,1,0,0,0,0,0,0,0,0,7408,2,1,4,1,0,0,1,2,24,1,1,3,1,0,1
333,0,48,0,0,0,1,0,0,0,0,0,0,0,11590,2,2,2,1,0,0,1,4,24,0,2,1,1,0,1
334,1,24,2,0,0,0,0,0,1,0,0,0,0,4110,1,4,3,0,0,0,1,4,23,0,2,2,2,0,1
335,1,6,0,0,0,0,0,0,1,0,0,0,0,3384,1,2,1,0,0,0,1,4,44,0,1,3,1,1,1
336,2,13,3,0,0,0,0,0,0,0,1,0,0,2101,1,1,2,1,0,1,0,4,23,1,1,1,1,0,1
337,1,15,3,0,0,0,1,0,0,0,0,0,0,1275,0,2,4,1,0,0,1,2,24,0,1,2,1,0,1
338,1,24,3,0,0,0,0,0,1,0,0,0,0,4169,1,2,4,0,0,0,1,4,28,1,1,2,1,0,1
339,2,10,3,0,0,0,0,0,1,0,0,0,0,1521,1,2,4,0,0,0,1,2,31,1,1,1,1,0,1
340,2,24,0,0,0,0,0,1,0,0,0,0,0,5743,1,1,2,1,0,0,1,4,24,2,2,2,1,1,1
341,1,21,3,0,0,0,0,0,1,0,0,0,0,3599,1,3,1,1,0,0,1,4,26,0,1,1,1,0,1
342,2,18,3,0,0,0,0,0,0,0,1,0,0,3213,3,1,1,0,0,0,1,3,25,0,1,2,1,0,1
343,2,18,3,1,0,0,0,0,0,0,0,0,0,4439,1,4,1,0,1,0,0,1,33,1,1,3,1,1,1
344,3,10,3,0,1,0,0,0,0,0,0,0,0,3949,1,1,1,0,0,1,0,1,37,1,1,1,2,0,1
345,0,15,0,0,0,0,0,0,0,0,1,0,0,1459,1,2,4,1,0,0,1,2,43,1,1,1,1,0,1
346,2,13,0,0,0,0,0,0,0,0,1,0,0,882,1,1,4,0,0,1,0,4,23,1,2,2,1,0,1
347,2,24,3,0,0,0,0,0,0,0,1,0,0,3758,3,0,1,1,0,0,1,4,23,0,1,0,1,0,1
348,0,6,1,1,0,0,0,0,0,0,0,0,0,1743,2,2,1,0,0,0,1,2,34,1,2,1,1,0,1
349,2,9,0,0,0,0,0,1,0,0,0,0,0,1136,4,4,4,0,0,0,1,3,32,2,2,2,2,0,1
350,0,9,3,0,0,0,1,0,0,0,0,0,0,1236,1,1,1,1,0,0,1,4,23,0,1,2,1,1,1
351,2,9,3,0,0,0,0,0,1,0,0,0,0,959,1,2,1,1,0,0,1,2,29,1,1,2,1,0,0
352,0,18,0,0,0,1,0,0,0,0,0,0,0,3229,0,0,2,0,0,0,1,4,38,1,1,3,1,1,1
353,1,12,2,0,0,0,0,0,0,0,1,0,0,6199,1,2,4,0,0,0,1,2,28,0,2,2,1,1,1
354,0,10,3,0,0,0,0,1,0,0,0,0,0,727,3,4,4,0,0,0,1,4,46,2,1,2,1,1,1
355,2,24,3,0,1,0,0,0,0,0,0,0,0,1246,1,1,4,0,0,0,1,2,23,1,1,1,1,0,1
356,0,12,0,0,0,0,0,0,0,0,1,0,0,2331,0,4,1,0,1,0,0,4,49,1,1,2,1,1,1
357,0,36,1,0,0,0,0,0,0,0,1,0,0,4463,1,2,4,0,0,0,1,2,26,1,2,3,1,1,1
358,0,12,3,0,0,0,0,0,0,0,1,0,0,776,1,2,4,0,0,0,1,2,28,1,1,2,1,0,1
359,1,30,3,0,0,0,0,0,1,0,0,0,0,2406,1,3,4,1,0,0,1,4,23,0,1,2,1,0,1
360,2,18,3,0,0,0,0,1,0,0,0,0,0,1239,0,2,4,0,0,0,1,4,61,2,1,2,1,0,1
361,3,12,3,0,0,0,0,0,0,0,1,0,0,3399,0,4,2,0,0,0,1,3,37,1,1,3,1,0,1
362,3,12,1,0,1,0,0,0,0,0,0,0,0,2247,1,2,2,1,0,0,1,2,36,1,2,2,1,1,1
363,0,6,3,0,0,0,0,0,1,0,0,0,0,1766,1,2,1,0,0,0,1,2,21,0,1,2,1,0,1
364,1,18,3,0,0,0,0,0,1,0,0,0,0,2473,1,0,4,0,0,0,1,1,25,1,1,0,1,0,1
365,0,12,3,1,0,0,0,0,0,0,0,0,0,1542,1,3,2,0,0,0,1,4,36,1,1,2,1,1,1
366,0,18,0,0,0,1,0,0,0,0,0,0,0,3850,1,3,3,0,0,0,1,1,27,1,2,2,1,0,1
367,1,18,3,0,0,0,0,0,1,0,0,0,0,3650,1,1,1,1,0,0,1,4,22,0,1,2,1,0,1
368,1,36,3,0,0,0,0,0,1,0,0,0,0,3446,1,4,4,0,0,0,1,2,42,1,1,2,2,0,1
369,2,18,3,0,0,0,0,0,1,0,0,0,0,3001,1,3,2,1,0,0,1,4,40,0,1,2,1,0,1
370,0,36,3,0,1,0,0,0,0,0,0,0,0,3079,0,2,4,0,0,0,1,4,36,1,1,2,1,0,1
371,0,18,0,0,0,0,0,0,0,0,1,0,0,6070,1,4,3,0,0,0,1,4,33,1,2,2,1,1,1
372,0,10,0,0,0,0,0,0,1,0,0,0,0,2146,1,1,1,1,0,0,1,3,23,0,2,2,1,0,1
373,0,60,0,0,1,0,0,0,0,0,0,0,0,13756,0,4,2,0,0,0,1,4,63,2,1,3,1,1,1
374,2,60,4,0,0,0,0,0,0,1,0,0,0,14782,2,4,3,1,0,0,1,4,60,2,2,3,1,1,1
375,1,48,4,1,0,0,0,0,0,0,0,0,0,7685,1,3,2,1,0,1,0,4,37,0,1,2,1,0,1
376,0,18,1,0,0,0,0,0,0,0,1,0,0,2320,1,0,2,0,0,0,1,3,34,1,2,2,1,0,1
377,0,7,1,0,0,0,0,0,0,0,1,0,0,846,0,4,3,0,0,0,1,4,36,2,1,2,1,0,1
378,2,36,3,0,1,0,0,0,0,0,0,0,0,14318,1,4,4,0,0,0,1,2,57,2,1,3,1,1,1
379,0,6,0,0,1,0,0,0,0,0,0,0,0,362,2,2,4,1,0,0,1,4,52,1,2,1,1,0,1
380,1,20,3,0,0,0,0,0,1,0,0,0,0,2212,0,3,4,0,0,0,1,4,39,1,1,2,1,1,1
381,2,18,3,0,0,1,0,0,0,0,0,0,0,12976,1,0,3,1,0,0,1,4,38,2,1,3,1,1,1
382,0,22,3,0,1,0,0,0,0,0,0,0,0,1283,0,3,4,1,0,0,1,4,25,0,1,2,1,0,1
383,3,12,3,0,1,0,0,0,0,0,0,0,0,1330,1,1,4,0,0,0,1,1,26,1,1,2,1,0,1
384,0,30,1,1,0,0,0,0,0,0,0,0,0,4272,2,2,2,0,0,0,1,2,26,1,2,1,1,0,1
385,0,18,0,0,0,0,0,0,0,0,1,0,0,2238,1,2,2,1,0,0,1,1,25,1,2,2,1,0,1
386,0,18,3,0,0,0,0,0,0,0,1,0,0,1126,0,1,4,1,0,0,1,2,21,0,1,2,1,1,1
387,2,18,0,0,0,0,0,0,1,0,0,0,0,7374,1,0,4,0,0,0,1,4,40,1,2,3,1,1,1
388,2,15,0,1,0,0,0,0,0,0,0,0,0,2326,3,2,2,0,0,0,1,4,27,1,1,2,1,0,1
389,0,9,3,1,0,0,0,0,0,0,0,0,0,1449,1,3,3,1,0,0,1,2,27,1,2,2,1,0,1
390,0,18,3,0,1,0,0,0,0,0,0,0,0,1820,1,2,2,0,0,0,1,2,30,1,1,3,1,1,1
391,2,12,3,0,0,0,0,0,1,0,0,0,0,983,4,1,1,1,0,0,1,4,19,0,1,1,1,0,1
392,1,36,3,0,1,0,0,0,0,0,0,0,0,3249,1,3,2,0,0,0,1,4,39,2,1,3,2,1,1
393,1,6,0,0,0,0,0,0,0,0,1,0,0,1957,1,3,1,1,0,0,1,4,31,1,1,2,1,0,1
